Name,date,frac
Canada,2020-04-27,-100.0
Germany,2020-04-27,-100.0
Ireland,2020-04-27,-100.0
Mexico,2020-04-27,-99.86
United Kingdom,2020-04-27,-100.0
United States,2020-04-27,-99.89
Global,2020-04-26,-99.94
Australia,2020-04-26,-100.0
Canada,2020-04-26,-100.0
Germany,2020-04-26,-100.0
Ireland,2020-04-26,-100.0
Mexico,2020-04-26,-99.96
United Kingdom,2020-04-26,-100.0
United States,2020-04-26,-99.99
Global,2020-04-25,-99.92
Australia,2020-04-25,-100.0
Canada,2020-04-25,-99.99
Germany,2020-04-25,-100.0
Ireland,2020-04-25,-100.0
Mexico,2020-04-25,-99.75
United Kingdom,2020-04-25,-100.0
United States,2020-04-25,-99.97
Global,2020-04-24,-99.94
Australia,2020-04-24,-100.0
Canada,2020-04-24,-99.99
Germany,2020-04-24,-100.0
Ireland,2020-04-24,-100.0
Mexico,2020-04-24,-99.83
United Kingdom,2020-04-24,-100.0
United States,2020-04-24,-99.97
Global,2020-04-23,-99.94
Australia,2020-04-23,-100.0
Canada,2020-04-23,-100.0
Germany,2020-04-23,-100.0
Ireland,2020-04-23,-100.0
Mexico,2020-04-23,-99.8
United Kingdom,2020-04-23,-100.0
United States,2020-04-23,-99.98
Global,2020-04-22,-99.92
Australia,2020-04-22,-100.0
Canada,2020-04-22,-100.0
Germany,2020-04-22,-100.0
Ireland,2020-04-22,-100.0
Mexico,2020-04-22,-99.82
United Kingdom,2020-04-22,-100.0
United States,2020-04-22,-99.97
Global,2020-04-21,-99.93
Australia,2020-04-21,-100.0
Canada,2020-04-21,-100.0
Germany,2020-04-21,-100.0
Ireland,2020-04-21,-100.0
Mexico,2020-04-21,-99.81
United Kingdom,2020-04-21,-100.0
United States,2020-04-21,-99.97
Global,2020-04-20,-99.95
Australia,2020-04-20,-100.0
Canada,2020-04-20,-100.0
Germany,2020-04-20,-100.0
Ireland,2020-04-20,-100.0
Mexico,2020-04-20,-99.88
United Kingdom,2020-04-20,-100.0
United States,2020-04-20,-99.99
Global,2020-04-19,-99.94
Australia,2020-04-19,-100.0
Canada,2020-04-19,-100.0
Germany,2020-04-19,-100.0
Ireland,2020-04-19,-100.0
Mexico,2020-04-19,-99.84
United Kingdom,2020-04-19,-100.0
United States,2020-04-19,-99.98
Global,2020-04-18,-99.93
Australia,2020-04-18,-100.0
Canada,2020-04-18,-99.99
Germany,2020-04-18,-100.0
Ireland,2020-04-18,-100.0
Mexico,2020-04-18,-99.59
United Kingdom,2020-04-18,-100.0
United States,2020-04-18,-99.97
Global,2020-04-17,-99.93
Australia,2020-04-17,-100.0
Canada,2020-04-17,-99.99
Germany,2020-04-17,-100.0
Ireland,2020-04-17,-100.0
Mexico,2020-04-17,-99.73
United Kingdom,2020-04-17,-100.0
United States,2020-04-17,-99.97
Global,2020-04-16,-99.93
Australia,2020-04-16,-100.0
Canada,2020-04-16,-100.0
Germany,2020-04-16,-100.0
Ireland,2020-04-16,-99.68
Mexico,2020-04-16,-99.77
United Kingdom,2020-04-16,-100.0
United States,2020-04-16,-99.96
Global,2020-04-15,-99.93
Australia,2020-04-15,-100.0
Canada,2020-04-15,-100.0
Germany,2020-04-15,-100.0
Ireland,2020-04-15,-100.0
Mexico,2020-04-15,-99.85
United Kingdom,2020-04-15,-100.0
United States,2020-04-15,-99.97
Global,2020-04-14,-99.94
Australia,2020-04-14,-100.0
Canada,2020-04-14,-100.0
Germany,2020-04-14,-99.94
Ireland,2020-04-14,-100.0
Mexico,2020-04-14,-99.77
United Kingdom,2020-04-14,-100.0
United States,2020-04-14,-99.99
Global,2020-04-13,-99.94
Australia,2020-04-13,-100.0
Canada,2020-04-13,-100.0
Germany,2020-04-13,-100.0
Ireland,2020-04-13,-100.0
Mexico,2020-04-13,-99.77
United Kingdom,2020-04-13,-100.0
United States,2020-04-13,-99.99
Global,2020-04-12,-99.95
Australia,2020-04-12,-100.0
Canada,2020-04-12,-100.0
Germany,2020-04-12,-100.0
Ireland,2020-04-12,-100.0
Mexico,2020-04-12,-99.79
United Kingdom,2020-04-12,-100.0
United States,2020-04-12,-99.99
Global,2020-04-11,-99.95
Australia,2020-04-11,-100.0
Canada,2020-04-11,-100.0
Germany,2020-04-11,-100.0
Ireland,2020-04-11,-100.0
Mexico,2020-04-11,-99.72
United Kingdom,2020-04-11,-100.0
United States,2020-04-11,-99.98
Global,2020-04-10,-99.94
Australia,2020-04-10,-100.0
Canada,2020-04-10,-100.0
Germany,2020-04-10,-99.86
Ireland,2020-04-10,-100.0
Mexico,2020-04-10,-99.82
United Kingdom,2020-04-10,-100.0
United States,2020-04-10,-99.97
Global,2020-04-09,-100.0
Australia,2020-04-09,-100.0
Canada,2020-04-09,-100.0
Germany,2020-04-09,-100.0
Ireland,2020-04-09,-100.0
Mexico,2020-04-09,-100.0
United Kingdom,2020-04-09,-100.0
United States,2020-04-09,-100.0
Global,2020-04-08,-99.94
Australia,2020-04-08,-100.0
Canada,2020-04-08,-100.0
Germany,2020-04-08,-100.0
Ireland,2020-04-08,-100.0
Mexico,2020-04-08,-99.77
United Kingdom,2020-04-08,-100.0
United States,2020-04-08,-99.97
Global,2020-04-07,-99.94
Australia,2020-04-07,-100.0
Canada,2020-04-07,-100.0
Germany,2020-04-07,-100.0
Ireland,2020-04-07,-100.0
Mexico,2020-04-07,-99.72
United Kingdom,2020-04-07,-100.0
United States,2020-04-07,-99.99
Global,2020-04-06,-99.93
Australia,2020-04-06,-100.0
Canada,2020-04-06,-100.0
Germany,2020-04-06,-100.0
Ireland,2020-04-06,-100.0
Mexico,2020-04-06,-99.25
United Kingdom,2020-04-06,-100.0
United States,2020-04-06,-100.0
Global,2020-04-05,-99.94
Australia,2020-04-05,-100.0
Canada,2020-04-05,-100.0
Germany,2020-04-05,-100.0
Ireland,2020-04-05,-100.0
Mexico,2020-04-05,-99.85
United Kingdom,2020-04-05,-100.0
United States,2020-04-05,-99.99
Global,2020-04-04,-99.94
Australia,2020-04-04,-100.0
Canada,2020-04-04,-100.0
Germany,2020-04-04,-100.0
Ireland,2020-04-04,-100.0
Mexico,2020-04-04,-99.5
United Kingdom,2020-04-04,-100.0
United States,2020-04-04,-99.98
Global,2020-04-03,-99.92
Australia,2020-04-03,-100.0
Canada,2020-04-03,-100.0
Germany,2020-04-03,-100.0
Ireland,2020-04-03,-100.0
Mexico,2020-04-03,-99.53
United Kingdom,2020-04-03,-100.0
United States,2020-04-03,-99.97
Global,2020-04-02,-99.92
Australia,2020-04-02,-100.0
Canada,2020-04-02,-100.0
Germany,2020-04-02,-100.0
Ireland,2020-04-02,-100.0
Mexico,2020-04-02,-99.62
United Kingdom,2020-04-02,-100.0
United States,2020-04-02,-99.98
Global,2020-04-01,-99.91
Australia,2020-04-01,-100.0
Canada,2020-04-01,-100.0
Germany,2020-04-01,-100.0
Ireland,2020-04-01,-100.0
Mexico,2020-04-01,-99.24
United Kingdom,2020-04-01,-100.0
United States,2020-04-01,-99.99
Global,2020-03-31,-99.87
Australia,2020-03-31,-100.0
Canada,2020-03-31,-100.0
Germany,2020-03-31,-100.0
Ireland,2020-03-31,-100.0
Mexico,2020-03-31,-98.7
United Kingdom,2020-03-31,-100.0
United States,2020-03-31,-99.99
Global,2020-03-30,-99.83
Australia,2020-03-30,-100.0
Canada,2020-03-30,-100.0
Germany,2020-03-30,-100.0
Ireland,2020-03-30,-100.0
Mexico,2020-03-30,-97.87
United Kingdom,2020-03-30,-100.0
United States,2020-03-30,-99.99
Global,2020-03-29,-99.89
Australia,2020-03-29,-100.0
Canada,2020-03-29,-100.0
Germany,2020-03-29,-100.0
Ireland,2020-03-29,-100.0
Mexico,2020-03-29,-98.51
United Kingdom,2020-03-29,-100.0
United States,2020-03-29,-100.0
Global,2020-03-28,-99.85
Australia,2020-03-28,-100.0
Canada,2020-03-28,-100.0
Germany,2020-03-28,-100.0
Ireland,2020-03-28,-100.0
Mexico,2020-03-28,-97.09
United Kingdom,2020-03-28,-100.0
United States,2020-03-28,-99.98
Global,2020-03-27,-99.83
Australia,2020-03-27,-100.0
Canada,2020-03-27,-99.98
Germany,2020-03-27,-100.0
Ireland,2020-03-27,-100.0
Mexico,2020-03-27,-97.12
United Kingdom,2020-03-27,-100.0
United States,2020-03-27,-99.99
Global,2020-03-26,-99.79
Australia,2020-03-26,-100.0
Canada,2020-03-26,-99.98
Germany,2020-03-26,-100.0
Ireland,2020-03-26,-100.0
Mexico,2020-03-26,-97.33
United Kingdom,2020-03-26,-100.0
United States,2020-03-26,-99.98
Global,2020-03-25,-99.75
Australia,2020-03-25,-100.0
Canada,2020-03-25,-99.97
Germany,2020-03-25,-100.0
Ireland,2020-03-25,-100.0
Mexico,2020-03-25,-96.6
United Kingdom,2020-03-25,-100.0
United States,2020-03-25,-99.98
Global,2020-03-24,-99.72
Australia,2020-03-24,-100.0
Canada,2020-03-24,-99.99
Germany,2020-03-24,-100.0
Ireland,2020-03-24,-99.55
Mexico,2020-03-24,-95.81
United Kingdom,2020-03-24,-100.0
United States,2020-03-24,-99.97
Global,2020-03-23,-99.68
Australia,2020-03-23,-99.82
Canada,2020-03-23,-99.97
Germany,2020-03-23,-100.0
Ireland,2020-03-23,-100.0
Mexico,2020-03-23,-94.6
United Kingdom,2020-03-23,-100.0
United States,2020-03-23,-99.97
Global,2020-03-22,-99.24
Australia,2020-03-22,-65.53
Canada,2020-03-22,-99.94
Germany,2020-03-22,-99.96
Ireland,2020-03-22,-98.31
Mexico,2020-03-22,-95.2
United Kingdom,2020-03-22,-99.99
United States,2020-03-22,-99.93
Global,2020-03-21,-98.96
Australia,2020-03-21,-53.61
Canada,2020-03-21,-99.89
Germany,2020-03-21,-99.78
Ireland,2020-03-21,-98.76
Mexico,2020-03-21,-90.81
United Kingdom,2020-03-21,-99.96
United States,2020-03-21,-99.89
Global,2020-03-20,-97.94
Australia,2020-03-20,-51.67
Canada,2020-03-20,-99.72
Germany,2020-03-20,-98.79
Ireland,2020-03-20,-99.08
Mexico,2020-03-20,-85.12
United Kingdom,2020-03-20,-93.93
United States,2020-03-20,-99.35
Global,2020-03-19,-96.03
Australia,2020-03-19,-53.0
Canada,2020-03-19,-99.47
Germany,2020-03-19,-98.36
Ireland,2020-03-19,-98.55
Mexico,2020-03-19,-78.41
United Kingdom,2020-03-19,-91.08
United States,2020-03-19,-97.54
Global,2020-03-18,-89.0
Australia,2020-03-18,-50.0
Canada,2020-03-18,-97.0
Germany,2020-03-18,-95.0
Ireland,2020-03-18,-97.0
Mexico,2020-03-18,-73.0
United Kingdom,2020-03-18,-88.0
United States,2020-03-18,-91.0
Global,2020-03-17,-83.0
Australia,2020-03-17,-43.0
Canada,2020-03-17,-94.0
Germany,2020-03-17,-90.0
Ireland,2020-03-17,-86.0
Mexico,2020-03-17,-62.0
United Kingdom,2020-03-17,-82.0
United States,2020-03-17,-84.0
Global,2020-03-16,-56.0
Australia,2020-03-16,-30.0
Canada,2020-03-16,-60.0
Germany,2020-03-16,-63.0
Ireland,2020-03-16,-70.0
Mexico,2020-03-16,-48.0
United Kingdom,2020-03-16,-52.0
United States,2020-03-16,-56.0
Global,2020-03-15,-47.0
Australia,2020-03-15,-12.0
Canada,2020-03-15,-47.0
Germany,2020-03-15,-46.0
Ireland,2020-03-15,-75.0
Mexico,2020-03-15,-35.0
United Kingdom,2020-03-15,-31.0
United States,2020-03-15,-48.0
Global,2020-03-14,-40.0
Australia,2020-03-14,-11.0
Canada,2020-03-14,-41.0
Germany,2020-03-14,-38.0
Ireland,2020-03-14,-52.0
Mexico,2020-03-14,-21.0
United Kingdom,2020-03-14,-20.0
United States,2020-03-14,-42.0
Global,2020-03-13,-36.0
Australia,2020-03-13,-8.0
Canada,2020-03-13,-40.0
Germany,2020-03-13,-28.0
Ireland,2020-03-13,-51.0
Mexico,2020-03-13,-16.0
United Kingdom,2020-03-13,-26.0
United States,2020-03-13,-36.0
Global,2020-03-12,-28.0
Australia,2020-03-12,-12.0
Canada,2020-03-12,-28.0
Germany,2020-03-12,-17.0
Ireland,2020-03-12,-46.0
Mexico,2020-03-12,-16.0
United Kingdom,2020-03-12,-24.0
United States,2020-03-12,-28.0
Global,2020-03-11,-19.0
Australia,2020-03-11,-10.0
Canada,2020-03-11,-19.0
Germany,2020-03-11,-11.0
Ireland,2020-03-11,-27.0
Mexico,2020-03-11,-15.0
United Kingdom,2020-03-11,-14.0
United States,2020-03-11,-19.0
Global,2020-03-10,-18.0
Australia,2020-03-10,-4.0
Canada,2020-03-10,-18.0
Germany,2020-03-10,-16.0
Ireland,2020-03-10,-28.0
Mexico,2020-03-10,-16.0
United Kingdom,2020-03-10,-17.0
United States,2020-03-10,-18.0
Global,2020-03-09,-14.0
Australia,2020-03-09,-10.0
Canada,2020-03-09,-13.0
Germany,2020-03-09,-10.0
Ireland,2020-03-09,-10.0
Mexico,2020-03-09,-19.0
United Kingdom,2020-03-09,-18.0
United States,2020-03-09,-14.0
Global,2020-03-08,-3.0
Australia,2020-03-08,-4.0
Canada,2020-03-08,-1.0
Germany,2020-03-08,11.0
Ireland,2020-03-08,4.0
Mexico,2020-03-08,-5.0
United Kingdom,2020-03-08,1.0
United States,2020-03-08,-2.0
Global,2020-03-07,-4.0
Australia,2020-03-07,-3.0
Canada,2020-03-07,-9.0
Germany,2020-03-07,4.0
Ireland,2020-03-07,-5.0
Mexico,2020-03-07,-2.0
United Kingdom,2020-03-07,-3.0
United States,2020-03-07,-3.0
Global,2020-03-06,-7.0
Australia,2020-03-06,-6.0
Canada,2020-03-06,-8.0
Germany,2020-03-06,-7.0
Ireland,2020-03-06,-13.0
Mexico,2020-03-06,-8.0
United Kingdom,2020-03-06,-5.0
United States,2020-03-06,-6.0
Global,2020-03-05,-7.0
Australia,2020-03-05,-8.0
Canada,2020-03-05,-4.0
Germany,2020-03-05,-6.0
Ireland,2020-03-05,-15.0
Mexico,2020-03-05,-6.0
United Kingdom,2020-03-05,-12.0
United States,2020-03-05,-5.0
Global,2020-03-04,-6.0
Australia,2020-03-04,-12.0
Canada,2020-03-04,-2.0
Germany,2020-03-04,-4.0
Ireland,2020-03-04,-1.0
Mexico,2020-03-04,-6.0
United Kingdom,2020-03-04,-9.0
United States,2020-03-04,-5.0
Global,2020-03-03,-9.0
Australia,2020-03-03,-6.0
Canada,2020-03-03,-7.0
Germany,2020-03-03,0.0
Ireland,2020-03-03,-7.0
Mexico,2020-03-03,-10.0
United Kingdom,2020-03-03,-11.0
United States,2020-03-03,-9.0
Global,2020-03-02,-8.0
Australia,2020-03-02,-12.0
Canada,2020-03-02,-12.0
Germany,2020-03-02,-8.0
Ireland,2020-03-02,-6.0
Mexico,2020-03-02,-7.0
United Kingdom,2020-03-02,-7.0
United States,2020-03-02,-7.0
Global,2020-03-01,0.0
Australia,2020-03-01,4.0
Canada,2020-03-01,-7.0
Germany,2020-03-01,9.0
Ireland,2020-03-01,10.0
Mexico,2020-03-01,-7.0
United Kingdom,2020-03-01,-2.0
United States,2020-03-01,2.0
Global,2020-02-29,1.0
Australia,2020-02-29,-1.0
Canada,2020-02-29,-4.0
Germany,2020-02-29,7.0
Ireland,2020-02-29,-13.0
Mexico,2020-02-29,-5.0
United Kingdom,2020-02-29,-3.0
United States,2020-02-29,3.0
Global,2020-02-28,-1.0
Australia,2020-02-28,0.0
Canada,2020-02-28,-8.0
Germany,2020-02-28,11.0
Ireland,2020-02-28,-10.0
Mexico,2020-02-28,-10.0
United Kingdom,2020-02-28,-2.0
United States,2020-02-28,1.0
Global,2020-02-27,-3.0
Australia,2020-02-27,-7.0
Canada,2020-02-27,-12.0
Germany,2020-02-27,5.0
Ireland,2020-02-27,-2.0
Mexico,2020-02-27,-7.0
United Kingdom,2020-02-27,-8.0
United States,2020-02-27,-1.0
Global,2020-02-26,-2.0
Australia,2020-02-26,-2.0
Canada,2020-02-26,1.0
Germany,2020-02-26,5.0
Ireland,2020-02-26,-10.0
Mexico,2020-02-26,-9.0
United Kingdom,2020-02-26,-5.0
United States,2020-02-26,-1.0
Global,2020-02-25,1.0
Australia,2020-02-25,-2.0
Canada,2020-02-25,-3.0
Germany,2020-02-25,4.0
Ireland,2020-02-25,-8.0
Mexico,2020-02-25,-3.0
United Kingdom,2020-02-25,-5.0
United States,2020-02-25,2.0
Global,2020-02-24,1.0
Australia,2020-02-24,0.0
Canada,2020-02-24,-2.0
Germany,2020-02-24,11.0
Ireland,2020-02-24,-9.0
Mexico,2020-02-24,-1.0
United Kingdom,2020-02-24,-6.0
United States,2020-02-24,2.0
Global,2020-02-23,4.0
Australia,2020-02-23,0.0
Canada,2020-02-23,8.0
Germany,2020-02-23,2.0
Ireland,2020-02-23,4.0
Mexico,2020-02-23,2.0
United Kingdom,2020-02-23,-4.0
United States,2020-02-23,6.0
Global,2020-02-22,1.0
Australia,2020-02-22,0.0
Canada,2020-02-22,-1.0
Germany,2020-02-22,1.0
Ireland,2020-02-22,-3.0
Mexico,2020-02-22,-1.0
United Kingdom,2020-02-22,-1.0
United States,2020-02-22,2.0
Global,2020-02-21,-2.0
Australia,2020-02-21,-1.0
Canada,2020-02-21,-2.0
Germany,2020-02-21,5.0
Ireland,2020-02-21,1.0
Mexico,2020-02-21,-3.0
United Kingdom,2020-02-21,0.0
United States,2020-02-21,-1.0
Global,2020-02-20,-1.0
Australia,2020-02-20,-3.0
Canada,2020-02-20,-3.0
Germany,2020-02-20,3.0
Ireland,2020-02-20,4.0
Mexico,2020-02-20,-4.0
United Kingdom,2020-02-20,-2.0
United States,2020-02-20,0.0
Global,2020-02-19,3.0
Australia,2020-02-19,-6.0
Canada,2020-02-19,0.0
Germany,2020-02-19,4.0
Ireland,2020-02-19,0.0
Mexico,2020-02-19,-5.0
United Kingdom,2020-02-19,-1.0
United States,2020-02-19,4.0
Global,2020-02-18,-1.0
Australia,2020-02-18,-3.0
Canada,2020-02-18,-5.0
Germany,2020-02-18,11.0
Ireland,2020-02-18,2.0
Mexico,2020-02-18,-5.0
United Kingdom,2020-02-18,1.0
United States,2020-02-18,0.0
